name;label;commune_label
Kitumaini;Kitumaini;Kamalondo
Njanja;Njanja;Kamalondo
Bel-Air I;Bel-Air I;Kampemba
Bel-Air II;Bel-Air II;Kampemba
Bongonga;Bongonga;Kampemba
Quartier Industriel;Quartier Industriel;Kampemba
Kafubu;Kafubu;Kampemba
Kampemba;Kampemba;Kampemba
Kigoma;Kigoma;Kampemba
Hewa-Bora;Hewa-Bora;Kampemba
Bukama;Bukama;Katuba
Kaponda;Kaponda;Katuba
Kinyama;Kinyama;Katuba
Kimilolo;Kimilolo;Katuba
Kisale;Kisale;Katuba
Lufira;Lufira;Katuba
Musumba;Musumba;Katuba
Mwana Shaba;Mwana Shaba;Katuba
Nsele;Nsele;Katuba
Upemba;Upemba;Katuba
Lualaba;Lualaba;Kenya
Luapula;Luapula;Kenya
Luvua;Luvua;Kenya
Gambela 1;Gambela 1;Lubumbashi
Gambela 2;Gambela 2;Lubumbashi
Kalubwe;Kalubwe;Lubumbashi
Kiwele;Kiwele;Lubumbashi
Lido-Golf;Lido-Golf;Lubumbashi
Lumumba;Lumumba;Lubumbashi
Makutano;Makutano;Lubumbashi
Mampala;Mampala;Lubumbashi
Baudoin;Baudoin;Lubumbashi
Makomeno;Makomeno;Lubumbashi
Golf-Tshiamalale;Golf-Tshiamalale;Lubumbashi
Golf-Malela;Golf-Malela;Lubumbashi
Golf-Plateau;Golf-Plateau;Lubumbashi
Golf-Faustin;Golf-Faustin;Lubumbashi
Centre des Recherches Agro-Alimentaires (CRAA);Centre des Recherches Agro-Alimentaires (CRAA);Lubumbashi
Bendera;Bendera;Rwashi
Kalukuluku;Kalukuluku;Rwashi
Matoleo;Matoleo;Rwashi
Shindaika;Shindaika;Rwashi
Congo;Congo;Rwashi
Radem;Radem;Rwashi
Kalebuka;Kalebuka;Annexe
Kasapa;Kasapa;Annexe
Kasungami;Kasungami;Annexe
Kimbembe;Kimbembe;Annexe
Kisanga;Kisanga;Annexe
Luwowoshi;Luwowoshi;Annexe
Munua;Munua;Annexe
Naviundu;Naviundu;Annexe
Kilobelobe;Kilobelobe;Annexe
Kamisepe;Kamisepe;Annexe
Jolie-site;Jolie-site;Annexe
